回,セット球,本数字1,本数字2,本数字3,本数字4,本数字5,本数字6,ボーナス,奇数偶数(本),合計(本),奇数偶数(全),合計(全)
1,A,2,8,10,13,27,30,39,2：4,90,3：4,129
2,G,1,9,16,20,21,43,5,4：2,110,5：2,115
3,C,1,5,15,31,36,38,13,4：2,126,5：2,139
4,H,16,18,26,27,34,40,13,1：5,161,2：5,174
5,F,9,15,21,23,27,28,43,5：1,123,6：1,166
6,I,6,12,23,25,28,38,22,2：4,132,2：5,154
7,E,7,19,21,23,33,35,26,6：0,138,6：1,164
8,B,11,16,18,20,42,43,28,2：4,150,2：5,178
9,C,11,19,23,38,39,42,15,4：2,172,5：2,187
10,J,1,3,19,21,35,39,26,6：0,118,6：1,144
11,D,12,26,32,37,40,42,16,1：5,189,1：6,205
12,E,14,17,27,28,35,39,22,4：2,160,4：3,182
13,H,13,29,31,37,41,42,17,5：1,193,6：1,210
14,F,2,8,11,35,37,38,43,3：3,131,4：3,174
15,I,4,6,11,20,21,28,36,2：4,90,2：5,126
16,A,5,12,13,29,34,35,30,4：2,128,4：3,158
17,G,14,20,25,34,35,36,11,2：4,164,3：4,175
18,H,6,16,18,27,36,41,33,2：4,144,3：4,177
19,B,4,8,12,30,33,43,14,2：4,130,2：5,144
20,D,7,29,33,35,37,39,19,6：0,180,7：0,199
21,C,5,7,13,19,38,41,42,5：1,123,5：2,165
22,J,8,12,16,19,20,35,41,2：4,110,3：4,151
23,G,7,10,28,32,33,40,13,2：4,150,3：4,163
24,C,15,18,19,30,36,38,13,2：4,156,3：4,169
25,E,11,32,34,37,40,43,8,3：3,197,3：4,205
26,G,3,4,11,12,13,43,22,4：2,86,4：3,108
27,A,4,8,20,30,33,38,10,1：5,133,1：6,143
28,F,6,11,15,20,31,41,7,4：2,124,5：2,131
29,I,8,12,20,35,37,40,33,2：4,152,3：4,185
30,B,4,16,17,19,26,37,8,3：3,119,3：4,127
31,J,7,18,22,25,28,43,4,3：3,143,3：4,147
32,H,3,6,7,23,29,41,33,5：1,109,6：1,142
33,C,8,17,22,25,29,41,13,4：2,142,5：2,155
34,D,2,20,25,30,37,40,10,2：4,154,2：5,164
35,E,3,5,13,30,32,41,28,4：2,124,4：3,152
36,A,1,16,20,23,30,40,17,2：4,130,3：4,147
37,G,3,5,9,17,21,41,26,6：0,96,6：1,122
38,F,2,9,26,27,34,43,42,3：3,141,3：4,183
39,C,10,18,22,25,39,42,17,2：4,156,3：4,173
40,H,5,17,25,34,38,39,2,4：2,158,4：3,160
41,I,18,21,27,33,36,38,23,3：3,173,4：3,196
42,H,4,15,21,24,33,37,9,4：2,134,5：2,143
43,B,1,2,3,15,24,26,27,3：3,71,4：3,98
